,time,number,t2m
331,2024-03-17 12:00:00,32,285.5314479968563
332,2024-03-17 12:00:00,33,284.13673536107945
333,2024-03-17 12:00:00,34,284.59654822937125
334,2024-03-17 12:00:00,35,284.17260136716243
335,2024-03-17 12:00:00,36,284.3623349487656
336,2024-03-17 12:00:00,37,284.87147218050916
337,2024-03-17 12:00:00,38,284.3768173115865
338,2024-03-17 12:00:00,39,284.0421396305446
339,2024-03-17 12:00:00,40,283.8183212960397
340,2024-03-17 12:00:00,41,284.4302204866706
341,2024-03-17 12:00:00,42,283.6901313026094
342,2024-03-17 12:00:00,43,284.6611552288124
343,2024-03-17 12:00:00,44,283.776354282684
344,2024-03-17 12:00:00,45,284.61968731055094
345,2024-03-17 12:00:00,46,284.2181136767048
346,2024-03-17 12:00:00,47,284.6443753075404
347,2024-03-17 12:00:00,48,284.0619571478212
348,2024-03-17 12:00:00,49,284.4309777343998
349,2024-03-17 12:00:00,50,284.1436194313449
350,2024-03-17 18:00:00,1,284.72016031607495
351,2024-03-17 18:00:00,2,285.3745256151558
352,2024-03-17 18:00:00,3,285.5774852167564
353,2024-03-17 18:00:00,4,284.88572220595864
354,2024-03-17 18:00:00,5,285.0416205822072
355,2024-03-17 18:00:00,6,285.3295124007077
356,2024-03-17 18:00:00,7,284.87783134041695
357,2024-03-17 18:00:00,8,285.8989454828887
358,2024-03-17 18:00:00,9,284.5378185049193
359,2024-03-17 18:00:00,10,284.6227507218191
360,2024-03-17 18:00:00,11,284.8246777128799
361,2024-03-17 18:00:00,12,284.30078275550477
362,2024-03-17 18:00:00,13,284.63878200044974
363,2024-03-17 18:00:00,14,284.230582448973
364,2024-03-17 18:00:00,15,284.64512395018176
365,2024-03-17 18:00:00,16,284.8572393652354
366,2024-03-17 18:00:00,17,284.9030184325005
367,2024-03-17 18:00:00,18,284.74405664498386
368,2024-03-17 18:00:00,19,284.2595729898783
369,2024-03-17 18:00:00,20,285.0362854277515
370,2024-03-17 18:00:00,21,284.7438243076124
371,2024-03-17 18:00:00,22,285.04849604738484
372,2024-03-17 18:00:00,23,284.41674491912596
373,2024-03-17 18:00:00,24,285.1039472333729
374,2024-03-17 18:00:00,25,285.3913313516913
375,2024-03-17 18:00:00,26,284.04441997882
376,2024-03-17 18:00:00,27,285.1937155096341
377,2024-03-17 18:00:00,28,285.26236690035614
378,2024-03-17 18:00:00,29,284.4251520899376
379,2024-03-17 18:00:00,30,284.4426892589388
380,2024-03-17 18:00:00,31,284.8740192865074
381,2024-03-17 18:00:00,32,285.14616379427565
382,2024-03-17 18:00:00,33,284.60442188473735
383,2024-03-17 18:00:00,34,285.2786477265339
384,2024-03-17 18:00:00,35,285.08155679483457
